Date,aer,knc,dps,tik,anof
29.01.2024 00:00:00,-1.70900000000000,-3.15800000000000,-3.02600000000000,-1.83200000000000,-2.72500000000000
29.01.2024 00:10:00,-1.87300000000000,-3.02000000000000,-2.63500000000000,-2.62400000000000,-2.64800000000000
29.01.2024 00:20:00,-1.28200000000000,-3.04800000000000,-2.47700000000000,-2.15700000000000,-2.61800000000000
29.01.2024 00:30:00,-1.79500000000000,-2.85000000000000,-2.16200000000000,-2.34400000000000,-2.66700000000000
29.01.2024 00:40:00,-1.60200000000000,-2.65000000000000,-2.61900000000000,-1.88900000000000,-2.88600000000000
29.01.2024 00:50:00,-1.53900000000000,-2.52400000000000,-2.28900000000000,-2.43700000000000,-2.94800000000000
29.01.2024 01:00:00,-1.39700000000000,-1.89800000000000,-2.72700000000000,-2.42300000000000,-2.97900000000000
29.01.2024 01:10:00,-1.69800000000000,-2.73900000000000,-2.43300000000000,-1.75600000000000,-2.81700000000000
29.01.2024 01:20:00,-1.24400000000000,-2.71400000000000,-2.83000000000000,-2.47700000000000,-2.86400000000000
29.01.2024 01:30:00,-1.68300000000000,-2.42000000000000,-2.65600000000000,-1.47000000000000,-2.60800000000000
29.01.2024 01:40:00,-1.63400000000000,-1.83100000000000,-2.55600000000000,-2.08300000000000,-2.81700000000000
29.01.2024 01:50:00,-1.18200000000000,-2.27800000000000,-2.48000000000000,-2.15800000000000,-2.45500000000000
29.01.2024 02:00:00,-1.23900000000000,-2.29000000000000,-1.87700000000000,-1.93100000000000,-2.51700000000000
29.01.2024 02:10:00,-1.40500000000000,-2.19600000000000,-2.62000000000000,-2.14700000000000,-2.49200000000000
29.01.2024 02:20:00,-1.56100000000000,-1.90400000000000,-2.09100000000000,-1.58600000000000,-2.51700000000000
29.01.2024 02:30:00,-1.64200000000000,-2.41100000000000,-1.90900000000000,-1.28100000000000,-2.41200000000000
29.01.2024 02:40:00,-1.16900000000000,-2.40600000000000,-2.43700000000000,-1.48300000000000,-2.47500000000000
29.01.2024 02:50:00,-1.50000000000000,-2.53100000000000,-2.12000000000000,-1.37800000000000,-2.36600000000000
29.01.2024 03:00:00,-1.35800000000000,-2.23000000000000,-2.17900000000000,-1.64800000000000,-2.48100000000000
