Date,Unit,Value,Dec
30.01.24 11:37:01,C,-1,772
30.01.24 11:52:01,C,-1,709
30.01.24 12:07:01,C,-1,772
30.01.24 12:22:01,C,-1,835
30.01.24 12:37:01,C,-1,269
30.01.24 12:52:01,C,-1,143
30.01.24 13:07:01,C,-2,15
30.01.24 13:22:01,C,-2,024
30.01.24 13:37:01,C,-1,458
30.01.24 13:52:01,C,-0,324
30.01.24 14:07:01,C,-0,261
30.01.24 14:22:01,C,-0,198
30.01.24 14:37:01,C,0,179
30.01.24 14:52:01,C,0,242
30.01.24 15:07:01,C,0,116
30.01.24 15:22:01,C,-0,01
30.01.24 15:37:01,C,-0,198
30.01.24 15:52:01,C,-0,198
30.01.24 16:07:01,C,-0,072
30.01.24 16:22:01,C,0,809
30.01.24 16:37:01,C,0,872
30.01.24 16:52:01,C,0,683
30.01.24 17:07:01,C,0,557
30.01.24 17:22:01,C,0,053
30.01.24 17:37:01,C,-0,072
30.01.24 17:52:01,C,-0,072
30.01.24 18:07:01,C,0,053
30.01.24 18:22:01,C,-0,072
30.01.24 18:37:01,C,-0,072
30.01.24 18:52:01,C,0,872
30.01.24 19:07:01,C,0,683
30.01.24 19:22:01,C,0,872
30.01.24 19:37:01,C,0,116
30.01.24 19:52:01,C,-0,135
30.01.24 20:07:01,C,-0,765
30.01.24 20:22:01,C,-0,513
30.01.24 20:37:01,C,-0,576
30.01.24 20:52:01,C,0,116
30.01.24 21:07:01,C,0,242
30.01.24 21:22:01,C,0,997
30.01.24 21:37:01,C,0,872
30.01.24 21:52:01,C,0,872
30.01.24 22:07:01,C,0,683
30.01.24 22:22:01,C,-0,01
30.01.24 22:37:01,C,0,305
30.01.24 22:52:01,C,0,242
30.01.24 23:07:01,C,0,683
30.01.24 23:22:01,C,-0,45
30.01.24 23:37:01,C,-0,639
30.01.24 23:52:01,C,-0,702
31.01.24 0:07:01,C,-1,395
31.01.24 0:22:01,C,-2,402
31.01.24 0:37:01,C,-2,213
31.01.24 0:52:01,C,-2,843
31.01.24 1:07:01,C,-2,969
31.01.24 1:22:01,C,-3,158
31.01.24 1:37:01,C,-2,465
31.01.24 1:52:01,C,-2,276
31.01.24 2:07:01,C,-2,024
31.01.24 2:22:01,C,-3,158
31.01.24 2:37:01,C,-2,654
31.01.24 2:52:01,C,-2,969
31.01.24 3:07:01,C,-2,969
31.01.24 3:22:01,C,-3,536
31.01.24 3:37:01,C,-3,788
31.01.24 3:52:01,C,-4,67
31.01.24 4:07:01,C,-5,301
31.01.24 4:22:01,C,-3,914
31.01.24 4:37:01,C,-3,725
31.01.24 4:52:01,C,-4,04
31.01.24 5:07:01,C,-3,977
31.01.24 5:22:01,C,-3,851
31.01.24 5:37:01,C,-3,158
31.01.24 5:52:01,C,-2,906
31.01.24 6:07:01,C,-2,717
31.01.24 6:22:01,C,-2,78
31.01.24 6:37:01,C,-3,032
31.01.24 6:52:01,C,-2,78
31.01.24 7:07:01,C,-2,528
31.01.24 7:22:01,C,-2,528
31.01.24 7:37:01,C,-1,395
31.01.24 7:52:01,C,-2,465
31.01.24 8:07:01,C,-2,15
31.01.24 8:22:01,C,-1,709
31.01.24 8:37:01,C,-2,843
31.01.24 8:52:01,C,-2,78
31.01.24 9:07:01,C,-3,032
31.01.24 9:22:01,C,-1,898
31.01.24 9:37:01,C,-2,339
31.01.24 9:52:01,C,-3,221
31.01.24 10:07:01,C,-2,906
31.01.24 10:22:01,C,-3,662
31.01.24 10:37:01,C,-2,213
31.01.24 10:52:01,C,-3,158
31.01.24 11:07:01,C,-2,969
31.01.24 11:22:01,C,-3,095
31.01.24 11:37:01,C,-2,591
31.01.24 11:52:01,C,-4,04
31.01.24 12:07:01,C,-3,347
31.01.24 12:22:01,C,-3,473
31.01.24 12:37:01,C,-3,536
31.01.24 12:52:01,C,-3,473
31.01.24 13:07:01,C,-3,473
31.01.24 13:22:01,C,-2,654
31.01.24 13:37:01,C,-2,78
31.01.24 13:52:01,C,-3,41
31.01.24 14:07:01,C,-2,906
31.01.24 14:22:01,C,-2,591
31.01.24 14:37:01,C,-2,024
31.01.24 14:52:01,C,-2,213
31.01.24 15:07:01,C,-1,583
31.01.24 15:22:01,C,-1,332
31.01.24 15:37:01,C,-1,269
31.01.24 15:52:01,C,-1,332
31.01.24 16:07:01,C,-1,709
31.01.24 16:22:01,C,-1,772
31.01.24 16:37:01,C,-1,961
31.01.24 16:52:01,C,-1,772
31.01.24 17:07:01,C,-1,898
31.01.24 17:22:01,C,-1,898
31.01.24 17:37:01,C,-1,898
31.01.24 17:52:01,C,-1,772
31.01.24 18:07:01,C,-1,646
31.01.24 18:22:01,C,-1,395
31.01.24 18:37:01,C,-1,143
31.01.24 18:52:01,C,-0,765
31.01.24 19:07:01,C,-0,387
31.01.24 19:22:01,C,-0,261
31.01.24 19:37:01,C,-0,324
31.01.24 19:52:01,C,-0,324
31.01.24 20:07:01,C,-0,387
31.01.24 20:22:01,C,-0,387
31.01.24 20:37:01,C,-0,45
31.01.24 20:52:01,C,-0,387
31.01.24 21:07:01,C,-0,891
31.01.24 21:22:01,C,-1,772
31.01.24 21:37:01,C,-1,458
31.01.24 21:52:01,C,11,491
31.01.24 22:07:01,C,12,996
31.01.24 22:22:01,C,15,065
31.01.24 22:37:01,C,16,757
31.01.24 22:52:01,C,21,453
31.01.24 23:07:01,C,22,642
31.01.24 23:22:01,C,24,392
31.01.24 23:37:01,C,23,017
31.01.24 23:52:01,C,21,39
01.02.24 0:07:01,C,21,265
01.02.24 0:22:01,C,21,14
01.02.24 0:37:01,C,21,14
01.02.24 0:52:01,C,21,14
01.02.24 1:07:01,C,21,015
01.02.24 1:22:01,C,21,14
01.02.24 1:37:01,C,21,265
01.02.24 1:52:01,C,21,328
01.02.24 2:07:01,C,21,39
01.02.24 2:22:01,C,21,453
01.02.24 2:37:01,C,21,516
01.02.24 2:52:01,C,21,578
01.02.24 3:07:01,C,21,703
01.02.24 3:22:01,C,21,703
01.02.24 3:37:01,C,21,703
01.02.24 3:52:01,C,21,766
01.02.24 4:07:01,C,21,766
01.02.24 4:22:01,C,21,828
01.02.24 4:37:01,C,21,828
01.02.24 4:52:01,C,21,828
01.02.24 5:07:01,C,21,828
01.02.24 5:22:01,C,21,828
01.02.24 5:37:01,C,21,766
01.02.24 5:52:01,C,21,766
01.02.24 6:07:01,C,21,578
01.02.24 6:22:01,C,21,265
01.02.24 6:37:01,C,20,89
01.02.24 6:52:01,C,20,952
01.02.24 7:07:01,C,20,952
01.02.24 7:22:01,C,20,89
01.02.24 7:37:01,C,20,577
01.02.24 7:52:01,C,20,577
01.02.24 8:07:01,C,20,514
01.02.24 8:22:01,C,20,389
01.02.24 8:37:01,C,20,389
01.02.24 8:52:01,C,20,514
01.02.24 9:07:01,C,20,389
01.02.24 9:22:01,C,20,389
01.02.24 9:37:01,C,20,264
01.02.24 9:52:01,C,20,89
01.02.24 10:07:01,C,21,328
01.02.24 10:22:01,C,21,39
01.02.24 10:37:01,C,20,952
01.02.24 10:52:01,C,21,203
01.02.24 11:07:01,C,20,639
01.02.24 11:22:01,C,22,704
01.02.24 11:37:01,C,22,704
01.02.24 11:52:01,C,22,704
01.02.24 12:07:01,C,22,767
01.02.24 12:22:01,C,22,704
01.02.24 12:37:01,C,22,579
01.02.24 12:52:01,C,22,266
01.02.24 13:07:01,C,21,891
01.02.24 13:22:01,C,21,39
01.02.24 13:37:01,C,20,765
01.02.24 13:52:01,C,20,389
01.02.24 14:07:01,C,20,264
01.02.24 14:22:01,C,20,201
01.02.24 14:37:01,C,20,139
01.02.24 14:52:01,C,21,641
01.02.24 15:07:01,C,23,955
01.02.24 15:22:01,C,23,58
01.02.24 15:37:01,C,23,517
01.02.24 15:52:01,C,23,392
01.02.24 16:07:01,C,23,392
01.02.24 16:22:01,C,23,392
01.02.24 16:37:01,C,23,455
01.02.24 16:52:01,C,23,517
01.02.24 17:07:01,C,23,642
01.02.24 17:22:01,C,23,705
01.02.24 17:37:01,C,23,83
01.02.24 17:52:01,C,24,08
01.02.24 18:07:01,C,23,892
01.02.24 18:22:01,C,23,58
01.02.24 18:37:01,C,23,455
01.02.24 18:52:01,C,23,392
01.02.24 19:07:01,C,23,33
01.02.24 19:22:01,C,23,267
01.02.24 19:37:01,C,23,079
01.02.24 19:52:01,C,22,892
01.02.24 20:07:01,C,22,767
01.02.24 20:22:01,C,22,704
01.02.24 20:37:01,C,22,642
01.02.24 20:52:01,C,22,642
01.02.24 21:07:01,C,22,704
01.02.24 21:22:01,C,22,767
01.02.24 21:37:01,C,22,829
01.02.24 21:52:01,C,22,954
01.02.24 22:07:01,C,23,079
01.02.24 22:22:01,C,23,142
01.02.24 22:37:01,C,23,267
01.02.24 22:52:01,C,23,33
01.02.24 23:07:01,C,23,33
01.02.24 23:22:01,C,23,392
01.02.24 23:37:01,C,23,455
01.02.24 23:52:01,C,23,517
02.02.24 0:07:01,C,23,58
02.02.24 0:22:01,C,23,58
02.02.24 0:37:01,C,23,642
02.02.24 0:52:01,C,23,642
02.02.24 1:07:01,C,23,642
02.02.24 1:22:01,C,23,705
02.02.24 1:37:01,C,23,705
02.02.24 1:52:01,C,23,705
02.02.24 2:07:01,C,23,767
02.02.24 2:22:01,C,23,767
02.02.24 2:37:01,C,23,767
02.02.24 2:52:01,C,23,767
02.02.24 3:07:01,C,23,83
02.02.24 3:22:01,C,23,83
02.02.24 3:37:01,C,23,83
02.02.24 3:52:01,C,23,83
02.02.24 4:07:01,C,23,767
02.02.24 4:22:01,C,23,705
02.02.24 4:37:01,C,23,642
02.02.24 4:52:01,C,23,517
02.02.24 5:07:01,C,23,455
02.02.24 5:22:01,C,23,392
02.02.24 5:37:01,C,23,33
02.02.24 5:52:01,C,23,267
02.02.24 6:07:01,C,23,204
02.02.24 6:22:01,C,23,142
02.02.24 6:37:01,C,23,079
02.02.24 6:52:01,C,23,017
02.02.24 7:07:01,C,23,017
02.02.24 7:22:01,C,22,954
02.02.24 7:37:01,C,22,892
02.02.24 7:52:01,C,22,892
02.02.24 8:07:01,C,22,829
02.02.24 8:22:01,C,22,829
02.02.24 8:37:01,C,22,767
02.02.24 8:52:01,C,22,767
02.02.24 9:07:01,C,22,767
02.02.24 9:22:01,C,22,704
02.02.24 9:37:01,C,22,704
02.02.24 9:52:01,C,22,704
02.02.24 10:07:01,C,22,704
02.02.24 10:22:01,C,22,704
02.02.24 10:37:01,C,22,704
02.02.24 10:52:01,C,22,704
02.02.24 11:07:01,C,22,642
02.02.24 11:22:01,C,22,642
02.02.24 11:37:01,C,22,642
02.02.24 11:52:01,C,22,642
02.02.24 12:07:01,C,22,642
02.02.24 12:22:01,C,22,642
02.02.24 12:37:01,C,22,642
02.02.24 12:52:01,C,22,579
02.02.24 13:07:01,C,22,579
02.02.24 13:22:01,C,22,579
02.02.24 13:37:01,C,22,579
02.02.24 13:52:01,C,22,579
02.02.24 14:07:01,C,22,579
02.02.24 14:22:01,C,22,516
02.02.24 14:37:01,C,22,516
