Date,Unit,Value,Dec
30.01.24 11:58:01,C,-3,167
30.01.24 12:13:01,C,-4,426
30.01.24 12:28:01,C,-5,307
30.01.24 12:43:01,C,-6,126
30.01.24 12:58:01,C,-4,048
30.01.24 13:13:01,C,-2,349
30.01.24 13:28:01,C,-1,343
30.01.24 13:43:01,C,-0,337
30.01.24 13:58:01,C,-0,4
30.01.24 14:13:01,C,-0,525
30.01.24 14:28:01,C,-0,337
30.01.24 14:43:01,C,0,104
30.01.24 14:58:01,C,0,104
30.01.24 15:13:01,C,-0,148
30.01.24 15:28:01,C,-0,148
30.01.24 15:43:01,C,-0,211
30.01.24 15:58:01,C,-0,4
30.01.24 16:13:01,C,-0,337
30.01.24 16:28:01,C,0,355
30.01.24 16:43:01,C,0,481
30.01.24 16:58:01,C,0,481
30.01.24 17:13:01,C,0,229
30.01.24 17:28:01,C,-0,211
30.01.24 17:43:01,C,-0,085
30.01.24 17:58:01,C,-0,4
30.01.24 18:13:01,C,-0,525
30.01.24 18:28:01,C,-0,903
30.01.24 18:43:01,C,-1,406
30.01.24 18:58:01,C,-1,909
30.01.24 19:13:01,C,-2,853
30.01.24 19:28:01,C,-3,23
30.01.24 19:43:01,C,-2,538
30.01.24 19:58:01,C,-2,035
30.01.24 20:13:01,C,-2,223
30.01.24 20:28:01,C,-1,972
30.01.24 20:43:01,C,-1,72
30.01.24 20:58:01,C,-0,022
30.01.24 21:13:01,C,-1,406
30.01.24 21:28:01,C,-0,965
30.01.24 21:43:01,C,0,732
30.01.24 21:58:01,C,1,109
30.01.24 22:13:01,C,0,292
30.01.24 22:28:01,C,-1,28
30.01.24 22:43:01,C,-0,148
30.01.24 22:58:01,C,0,292
30.01.24 23:13:01,C,-0,84
30.01.24 23:28:01,C,-0,84
30.01.24 23:43:01,C,-2,664
30.01.24 23:58:01,C,-2,978
31.01.24 0:13:01,C,-4,615
31.01.24 0:28:01,C,-4,552
31.01.24 0:43:01,C,-3,985
31.01.24 0:58:01,C,-2,601
31.01.24 1:13:01,C,-4,992
31.01.24 1:28:01,C,-6
31.01.24 1:43:01,C,-5,685
31.01.24 1:58:01,C,-2,475
31.01.24 2:13:01,C,-2,223
31.01.24 2:28:01,C,-2,223
31.01.24 2:43:01,C,-2,475
31.01.24 2:58:01,C,-2,727
31.01.24 3:13:01,C,-1,846
31.01.24 3:28:01,C,-4,929
31.01.24 3:43:01,C,-5,748
31.01.24 3:58:01,C,-6,818
31.01.24 4:13:01,C,-7,196
31.01.24 4:28:01,C,-6,252
31.01.24 4:43:01,C,-7,385
31.01.24 4:58:01,C,-7,511
31.01.24 5:13:01,C,-7,511
31.01.24 5:28:01,C,-7,763
31.01.24 5:43:01,C,-7,385
31.01.24 5:58:01,C,-7,763
31.01.24 6:13:01,C,-7,322
31.01.24 6:28:01,C,-6,189
31.01.24 6:43:01,C,-6,252
31.01.24 6:58:01,C,-5,748
31.01.24 7:13:01,C,-4,678
31.01.24 7:28:01,C,-3,859
31.01.24 7:43:01,C,-4,615
31.01.24 7:58:01,C,-4,552
31.01.24 8:13:01,C,-5,118
31.01.24 8:28:01,C,-5,37
31.01.24 8:43:01,C,-4,929
31.01.24 8:58:01,C,-5,181
31.01.24 9:13:01,C,-5,433
31.01.24 9:28:01,C,-5,685
31.01.24 9:43:01,C,-6,314
31.01.24 9:58:01,C,-6,566
31.01.24 10:13:01,C,-5,685
31.01.24 10:28:01,C,-6,944
31.01.24 10:43:01,C,-6,377
31.01.24 10:58:01,C,-6,944
31.01.24 11:13:01,C,-4,363
31.01.24 11:28:01,C,-5,937
31.01.24 11:43:01,C,-5,748
31.01.24 11:58:01,C,-6,44
31.01.24 12:13:01,C,-6,881
31.01.24 12:28:01,C,-6,629
31.01.24 12:43:01,C,-7,007
31.01.24 12:58:01,C,-6,566
31.01.24 13:13:01,C,-6,818
31.01.24 13:28:01,C,-5,937
31.01.24 13:43:01,C,-6,126
31.01.24 13:58:01,C,-6,377
31.01.24 14:13:01,C,-5,496
31.01.24 14:28:01,C,-4,866
31.01.24 14:43:01,C,-3,985
31.01.24 14:58:01,C,-4,048
31.01.24 15:13:01,C,-3,608
31.01.24 15:28:01,C,-2,727
31.01.24 15:43:01,C,-3,104
31.01.24 15:58:01,C,-3,482
31.01.24 16:13:01,C,-2,727
31.01.24 16:28:01,C,-3,419
31.01.24 16:43:01,C,-3,419
31.01.24 16:58:01,C,-3,167
31.01.24 17:13:01,C,-0,525
31.01.24 17:28:01,C,-0,337
31.01.24 17:43:01,C,-0,211
31.01.24 17:58:01,C,-0,274
31.01.24 18:13:01,C,-0,274
31.01.24 18:28:01,C,-0,337
31.01.24 18:43:01,C,-0,274
31.01.24 18:58:01,C,-0,211
31.01.24 19:13:01,C,-0,085
31.01.24 19:28:01,C,-0,085
31.01.24 19:43:01,C,-0,022
31.01.24 19:58:01,C,-0,022
31.01.24 20:13:01,C,0,041
31.01.24 20:28:01,C,-0,085
31.01.24 20:43:01,C,-0,022
31.01.24 20:58:01,C,-0,274
31.01.24 21:13:01,C,-0,965
31.01.24 21:28:01,C,-1,028
31.01.24 21:43:01,C,-0,965
31.01.24 21:58:01,C,-0,148
31.01.24 22:13:01,C,11,155
31.01.24 22:28:01,C,17,233
31.01.24 22:43:01,C,15,166
31.01.24 22:58:01,C,14,164
31.01.24 23:13:01,C,17,859
31.01.24 23:28:01,C,18,861
31.01.24 23:43:01,C,22,302
31.01.24 23:58:01,C,21,551
01.02.24 0:13:01,C,21,551
01.02.24 0:28:01,C,21,614
01.02.24 0:43:01,C,21,551
01.02.24 0:58:01,C,21,551
01.02.24 1:13:01,C,21,551
01.02.24 1:28:01,C,21,739
01.02.24 1:43:01,C,21,802
01.02.24 1:58:01,C,21,927
01.02.24 2:13:01,C,21,989
01.02.24 2:28:01,C,22,114
01.02.24 2:43:01,C,22,177
01.02.24 2:58:01,C,22,302
01.02.24 3:13:01,C,22,364
01.02.24 3:28:01,C,22,302
01.02.24 3:43:01,C,22,364
01.02.24 3:58:01,C,22,489
01.02.24 4:13:01,C,22,552
01.02.24 4:28:01,C,22,489
01.02.24 4:43:01,C,22,489
01.02.24 4:58:01,C,22,552
01.02.24 5:13:01,C,22,552
01.02.24 5:28:01,C,22,489
01.02.24 5:43:01,C,22,552
01.02.24 5:58:01,C,22,302
01.02.24 6:13:01,C,22,114
01.02.24 6:28:01,C,21,676
01.02.24 6:43:01,C,21,426
01.02.24 6:58:01,C,21,364
01.02.24 7:13:01,C,21,551
01.02.24 7:28:01,C,21,301
01.02.24 7:43:01,C,20,988
01.02.24 7:58:01,C,20,863
01.02.24 8:13:01,C,20,801
01.02.24 8:28:01,C,20,675
